Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
132,Cabo Verde,2021,Basic access to computers by level of education: Primary,51.5
132,Cabo Verde,2021,Basic access to computers by level of education: Lower secondary,100
132,Cabo Verde,2021,Basic access to computers by level of education: Upper secondary,100
116,Cambodia,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),57.3
116,Cambodia,2012,All staff compensation as % of total expenditure in public institutions (%),42.7
116,Cambodia,2014,Capital expenditure as % of total expenditure in public institutions (%),0.5
116,Cambodia,2022,Basic access to computers by level of education: Primary,5.3
116,Cambodia,2022,Basic access to computers by level of education: Lower secondary,15
120,Cameroon,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.5
120,Cameroon,2010,All staff compensation as % of total expenditure in public institutions (%),80.2
120,Cameroon,2010,Capital expenditure as % of total expenditure in public institutions (%),13.4
120,Cameroon,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.7
120,Cameroon,2013,All staff compensation as % of total expenditure in public institutions (%),75.7
120,Cameroon,2013,Capital expenditure as % of total expenditure in public institutions (%),13.6
120,Cameroon,2016,Basic access to computers by level of education: Lower secondary,72
120,Cameroon,2016,Basic access to computers by level of education: Upper secondary,84
120,Cameroon,2022,Basic access to computers by level of education: Primary,16.7
124,Canada,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.4
124,Canada,2005,All staff compensation as % of total expenditure in public institutions (%),70.0
124,Canada,2005,Capital expenditure as % of total expenditure in public institutions (%),4.6
124,Canada,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.5
124,Canada,2010,All staff compensation as % of total expenditure in public institutions (%),65.8
124,Canada,2010,Capital expenditure as % of total expenditure in public institutions (%),9.7
124,Canada,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.8
124,Canada,2015,All staff compensation as % of total expenditure in public institutions (%),69.4
124,Canada,2015,Capital expenditure as % of total expenditure in public institutions (%),7.8
124,Canada,2015,Basic access to computers by level of education: Primary,78.1
124,Canada,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.7
124,Canada,2019,All staff compensation as % of total expenditure in public institutions (%),69.9
124,Canada,2019,Capital expenditure as % of total expenditure in public institutions (%),7.4
124,Canada,2019,Basic access to computers by level of education: Primary,85.8
124,Canada,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.5
124,Canada,2020,All staff compensation as % of total expenditure in public institutions (%),70.3
124,Canada,2020,Capital expenditure as % of total expenditure in public institutions (%),8.2
136,Cayman Islands,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.4
136,Cayman Islands,2006,All staff compensation as % of total expenditure in public institutions (%),97.6
136,Cayman Islands,2010,Basic access to computers by level of education: Primary,76.9
136,Cayman Islands,2022,Basic access to computers by level of education: Primary,100.0
136,Cayman Islands,2022,Basic access to computers by level of education: Lower secondary,100
136,Cayman Islands,2022,Basic access to computers by level of education: Upper secondary,100
140,Central African Republic,2005,All staff compensation as % of total expenditure in public institutions (%),79.2
140,Central African Republic,2005,Capital expenditure as % of total expenditure in public institutions (%),2.2
140,Central African Republic,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.5
140,Central African Republic,2008,All staff compensation as % of total expenditure in public institutions (%),84.2
140,Central African Republic,2008,Capital expenditure as % of total expenditure in public institutions (%),2.3
140,Central African Republic,2010,Capital expenditure as % of total expenditure in public institutions (%),1.1
148,Chad,2010,Capital expenditure as % of total expenditure in public institutions (%),31.3
148,Chad,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.6
148,Chad,2012,All staff compensation as % of total expenditure in public institutions (%),75.5
148,Chad,2012,Capital expenditure as % of total expenditure in public institutions (%),21.9
148,Chad,2021,Basic access to computers by level of education: Primary,0.0
148,Chad,2021,Basic access to computers by level of education: Lower secondary,8
148,Chad,2021,Basic access to computers by level of education: Upper secondary,12
152,Chile,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.5
152,Chile,2005,All staff compensation as % of total expenditure in public institutions (%),78.1
152,Chile,2005,Capital expenditure as % of total expenditure in public institutions (%),4.4
152,Chile,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.1
152,Chile,2009,All staff compensation as % of total expenditure in public institutions (%),78.9
152,Chile,2009,Capital expenditure as % of total expenditure in public institutions (%),3.0
152,Chile,2015,Basic access to computers by level of education: Primary,63.9
152,Chile,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.7
152,Chile,2019,All staff compensation as % of total expenditure in public institutions (%),68.0
152,Chile,2019,Capital expenditure as % of total expenditure in public institutions (%),5.3
152,Chile,2019,Basic access to computers by level of education: Primary,51.6
152,Chile,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.6
152,Chile,2020,All staff compensation as % of total expenditure in public institutions (%),69.3
152,Chile,2020,Capital expenditure as % of total expenditure in public institutions (%),5.1
156,China,2022,Basic access to computers by level of education: Primary,95.2
156,China,2022,Basic access to computers by level of education: Lower secondary,97
156,China,2022,Basic access to computers by level of education: Upper secondary,92
344,"China, Hong Kong SAR",2010,Capital expenditure as % of total expenditure in public institutions (%),12.7
344,"China, Hong Kong SAR",2012,Capital expenditure as % of total expenditure in public institutions (%),18.2
344,"China, Hong Kong SAR",2015,Basic access to computers by level of education: Primary,90.9
344,"China, Hong Kong SAR",2022,Basic access to computers by level of education: Primary,100.0
344,"China, Hong Kong SAR",2022,Basic access to computers by level of education: Lower secondary,100
344,"China, Hong Kong SAR",2022,Basic access to computers by level of education: Upper secondary,100
